TEMPLATE NAME,SEARCH SET NAME,SEARCH SET ID,ACTION,PARAMETERS
800-FRP 1B - T2 Pour-21-07-2026 08:00_21-07-2026 17:00,Actual Start Date Construct greater_than Start_2026-07-21 08:00:00,bfaafac3-8272-4882-a80e-4415ffe2c3b7,Color,255-116-10
800-FRP 1B - T2 Pour-21-07-2026 08:00_21-07-2026 17:00,Actual End Date Demo less_than End_2026-07-21 17:00:00,635d648e-4ef0-4d9a-bf1c-78ec6d313753,Color,241-14-38
800-FRP 1B - T2 Pour-21-07-2026 08:00_21-07-2026 17:00,Tasks Starts in Between_2026-07-21 08:00:00_2026-07-21 17:00:00,c5d436cb-d89d-4cb9-ac0b-e875ca7c2fb4,Color,79-134-255
800-FRP 1C - T2 Pour-03-07-2026 08:00_03-07-2026 17:00,Deck Pour Sequence Context,fe293f50-241b-44f8-a723-42277ca8fe21,Isolate,
800-FRP 1C - T2 Pour-03-07-2026 08:00_03-07-2026 17:00,Deck Pour Sequence Hidden,d832cbd2-5ca6-488a-8867-09bdf2aa6c36,Hide,
800-FRP 1C - T2 Pour-03-07-2026 08:00_03-07-2026 17:00,Actual End Date Demo less_than Start_2026-07-03 08:00:00,f0546560-3b73-42d0-81ea-efdbcd4e9e63,Hide,
800-FRP 1C - T2 Pour-03-07-2026 08:00_03-07-2026 17:00,Actual Start Date Construct greater_than End_2026-07-03 17:00:00,da01559f-e7f6-43d4-a7ca-9dc69e0d137e,Hide,
800-FRP 1C - T2 Pour-03-07-2026 08:00_03-07-2026 17:00,Actual Start Date Construct greater_than Start_2026-07-03 08:00:00,14b6b181-3436-41f7-9e95-13d77c8ad20f,Color,255-116-10
800-FRP 1C - T2 Pour-03-07-2026 08:00_03-07-2026 17:00,Actual End Date Demo less_than End_2026-07-03 17:00:00,ac70bb28-ddca-41ee-aca1-e79c30ef89ed,Color,241-14-38
800-FRP 1C - T2 Pour-03-07-2026 08:00_03-07-2026 17:00,Tasks Starts in Between_2026-07-03 08:00:00_2026-07-03 17:00:00,7436ef4b-3ce7-43d3-bd53-4adb2b15da76,Color,79-134-255
800-FRP 2A - T1 Pour-11-06-2026 08:00_11-06-2026 17:00,Deck Pour Sequence Context,fe293f50-241b-44f8-a723-42277ca8fe21,Isolate,
800-FRP 2A - T1 Pour-11-06-2026 08:00_11-06-2026 17:00,Deck Pour Sequence Hidden,d832cbd2-5ca6-488a-8867-09bdf2aa6c36,Hide,
800-FRP 2A - T1 Pour-11-06-2026 08:00_11-06-2026 17:00,Actual End Date Demo less_than Start_2026-06-11 08:00:00,035a23b7-7622-47ed-8beb-4e3ee8886472,Hide,
800-FRP 2A - T1 Pour-11-06-2026 08:00_11-06-2026 17:00,Actual Start Date Construct greater_than End_2026-06-11 17:00:00,ca19bbcc-bb37-4221-8da0-f113f5f0e8b6,Hide,
800-FRP 2A - T1 Pour-11-06-2026 08:00_11-06-2026 17:00,Actual Start Date Construct greater_than Start_2026-06-11 08:00:00,7dbba945-fe84-4c5c-81ba-62ea1f9f216c,Color,255-116-10
800-FRP 2A - T1 Pour-11-06-2026 08:00_11-06-2026 17:00,Actual End Date Demo less_than End_2026-06-11 17:00:00,5db94908-7485-4b13-8ed2-d69166e3747a,Color,241-14-38
800-FRP 2A - T1 Pour-11-06-2026 08:00_11-06-2026 17:00,Tasks Starts in Between_2026-06-11 08:00:00_2026-06-11 17:00:00,82541b98-812d-43d0-8381-795b3de28954,Color,79-134-255
800-FRP 2B - T1 Pour-14-06-2026 08:00_14-07-2026 17:00,Deck Pour Sequence Context,fe293f50-241b-44f8-a723-42277ca8fe21,Isolate,
800-FRP 2B - T1 Pour-14-06-2026 08:00_14-07-2026 17:00,Deck Pour Sequence Hidden,d832cbd2-5ca6-488a-8867-09bdf2aa6c36,Hide,
800-FRP 2B - T1 Pour-14-06-2026 08:00_14-07-2026 17:00,Actual End Date Demo less_than Start_2026-06-14 08:00:00,c010b29b-baab-4359-ba19-2cc1e1ea3737,Hide,
800-FRP 2B - T1 Pour-14-06-2026 08:00_14-07-2026 17:00,Actual Start Date Construct greater_than End_2026-07-14 17:00:00,49b731b1-79f8-4386-b40e-ac346b16b60c,Hide,
800-FRP 2B - T1 Pour-14-06-2026 08:00_14-07-2026 17:00,Actual Start Date Construct greater_than Start_2026-06-14 08:00:00,8b07bc99-a74d-4d80-847b-7f8298435f19,Color,255-116-10
800-FRP 2B - T1 Pour-14-06-2026 08:00_14-07-2026 17:00,Actual End Date Demo less_than End_2026-07-14 17:00:00,82ee01d4-5581-4a79-9267-0e47f64de893,Color,241-14-38
800-FRP 2B - T1 Pour-14-06-2026 08:00_14-07-2026 17:00,Tasks Starts in Between_2026-06-14 08:00:00_2026-07-14 17:00:00,7dc8dabc-af5a-4fd5-a5d4-ad885b15b81d,Color,79-134-255
800-FRP 2C - T1 Pour-27-06-2026 08:00_27-06-2026 17:00,Deck Pour Sequence Context,fe293f50-241b-44f8-a723-42277ca8fe21,Isolate,
800-FRP 2C - T1 Pour-27-06-2026 08:00_27-06-2026 17:00,Deck Pour Sequence Hidden,d832cbd2-5ca6-488a-8867-09bdf2aa6c36,Hide,
800-FRP 2C - T1 Pour-27-06-2026 08:00_27-06-2026 17:00,Actual End Date Demo less_than Start_2026-06-27 08:00:00,b1804d62-3b51-4de6-afd8-de1ec150e2ca,Hide,
800-FRP 2C - T1 Pour-27-06-2026 08:00_27-06-2026 17:00,Actual Start Date Construct greater_than End_2026-06-27 17:00:00,bf7f024b-bc73-42b1-9fea-411d36b1cfcc,Hide,
800-FRP 2C - T1 Pour-27-06-2026 08:00_27-06-2026 17:00,Actual Start Date Construct greater_than Start_2026-06-27 08:00:00,223c9df0-56d6-43a7-82a7-c6bf270cb8ab,Color,255-116-10
